appearance_id,game_id,player_id,yellow_cards,red_cards,goals,assists,minutes_played,game_event_id,minute,description,player_in_id,player_assist_id,season,round,date,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,game_lineups_id,number,team_captain,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2224728_119169,2224728,119169,0,0,0,0,90,,,,,,2012,1. Matchday,2012-07-13 00:00:00,1,1,6,7,Peter Rensen,Kent Nielsen,Ceres Park,9728,Michael Svendsen,,,Aarhus Gymnastik Forening,Aalborg BK,01:01:00,domestic_league,,,,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10 00:00:00,Centre-Forward,right,184,400000,4000000,2024-12-31 00:00:00,CAA Stellar
2224732_161244,2224732,161244,0,0,1,0,90,d9f02a9d767f319e58909ba1e1de6d23,50,", Long distance kick, 1. Goal of the Season Assist:",,,2012,1. Matchday,2012-07-14 00:00:00,6,1,1,12,Lars Sondergaard,Colin Todd,Sydbank Park,2995,Claus Bo Larsen,,,Sonderjyske Fc,Randers Fodbold Club,06:01:00,domestic_league,,,,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20 00:00:00,Defensive Midfield,right,177,,750000,,
2224729_39467,2224729,39467,0,0,0,0,90,,,,,,2012,1. Matchday,2012-07-15 00:00:00,0,1,9,5,Auri Skarbalius,Troels Bech,Brondby Stadium,10806,Lars Christoffersen,,,Brondby IF,Odense Boldklub,00:01:00,domestic_league,,,,Clarence Goodson,2012,206,clarence-goodson,United States,1982-05-17 00:00:00,Centre-Back,right,193,,1850000,,
2232104_119169,2232104,119169,0,0,0,0,74,2ab0ea7af8313c0da07c723728bb6a49,74,", Not reported",174001,,2012,Second Round 1st leg,2012-07-19 00:00:00,1,2,,,Peter Rensen,Temur Shalamberidze,Ceres Park,9000,Boako Jovanetic,,,Aarhus Gymnastik Forening,,01:02:00,international_cup,,,,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10 00:00:00,Centre-Forward,right,184,400000,4000000,2024-12-31 00:00:00,CAA Stellar
2219794_39475,2219794,39475,0,0,0,0,3,,,,,,2012,Final,2012-07-22 00:00:00,3,2,,,John van den Brom,Peter Maes,Constant Vanden Stock Stadion,14485,Laurent Colemonts,,,Royal Sporting Club Anderlecht,KSC Lokeren (- 2020),03:02:00,other,,,,Sacha Kljestan,2014,58,sacha-kljestan,United States,1985-09-09 00:00:00,Attacking Midfield,both,185,,3000000,,Wasserman
2224560_39467,2224560,39467,1,0,0,0,90,e7631c64f9a922d4370ba6db39ccbfac,60,"1. Yellow card  , Foul",,,2012,2. Matchday,2012-07-22 00:00:00,2,1,3,12,Kent Nielsen,Auri Skarbalius,Aalborg Portland Park,7895,Claus Bo Larsen,,,Aalborg BK,BRA NDBYERNES,02:01:00,domestic_league,,,,Clarence Goodson,2012,206,clarence-goodson,United States,1982-05-17 00:00:00,Centre-Back,right,193,,1850000,,
2224564_46472,2224564,46472,0,0,0,0,21,,,,,,2012,2. Matchday,2012-07-22 00:00:00,0,1,6,9,Troels Bech,Colin Todd,Nature Energy Park,7123,Mads-Kristoffer Kristoffersen,,,Odense Boldklub,Randers Fodbold Club,00:01:00,domestic_league,,,,Charlie Davies,2013,5724,charlie-davies,United States,1986-06-25 00:00:00,Centre-Forward,right,178,,2200000,,
2224569_161244,2224569,161244,1,0,0,1,90,abe3da42c64790a4c4ae00ff82c3024f,68,"1. Yellow card  , Foul",,,2012,2. Matchday,2012-07-22 00:00:00,1,1,1,2,Lars Sondergaard,Ariel Jacobs,Sydbank Park,6575,Michael Tykgaard,,,Sonderjyske Fc,Football Club Ka Benhavn,01:01:00,domestic_league,,,,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20 00:00:00,Defensive Midfield,right,177,,750000,,
2224568_119169,2224568,119169,0,0,0,0,73,1b4e309dd87c3a8f86e0675b9b29d36c,73,", Tactical",24282,,2012,2. Matchday,2012-07-23 00:00:00,0,0,10,11,Peter Rensen,Jess Thorup,Ceres Park,7323,Jens Maae,,,Aarhus Gymnastik Forening,Esbjerg fB,00:00:00,domestic_league,,,,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10 00:00:00,Centre-Forward,right,184,400000,4000000,2024-12-31 00:00:00,CAA Stellar
2244352_119169,2244352,119169,0,0,0,0,43,b8d0f42d674f31af1a4414a46ffb713f,43,", Not reported",1197,,2012,Second Round 2nd leg,2012-07-26 00:00:00,3,1,,,Temur Shalamberidze,Peter Rensen,Tengiz Burjanadze Stadium,5000,Stephan Studer,,,,Aarhus Gymnastik Forening,03:01:00,international_cup,,,,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10 00:00:00,Centre-Forward,right,184,400000,4000000,2024-12-31 00:00:00,CAA Stellar
2224572_161244,2224572,161244,0,0,0,0,90,,,,,,2012,3. Matchday,2012-07-28 00:00:00,1,2,12,1,Jess Thorup,Lars Sondergaard,Blue Water Arena,5345,Michael Svendsen,,,Esbjerg fB,Sonderjyske Fc,01:02:00,domestic_league,,,,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20 00:00:00,Defensive Midfield,right,177,,750000,,
2224567_119169,2224567,119169,0,0,0,0,56,9621a6320b0beadb5c5d223b8654373d,56,", Tactical",1197,,2012,3. Matchday,2012-07-29 00:00:00,2,1,3,11,Colin Todd,Peter Rensen,Cepheus Park Randers,6595,Lars Christoffersen,,,Randers Fodbold Club,Aarhus Gymnastik Forening,02:01:00,domestic_league,,,,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10 00:00:00,Centre-Forward,right,184,400000,4000000,2024-12-31 00:00:00,CAA Stellar
2224567_46472,2224567,46472,0,0,0,0,19,,,,,,2012,3. Matchday,2012-07-29 00:00:00,2,1,3,11,Colin Todd,Peter Rensen,Cepheus Park Randers,6595,Lars Christoffersen,,,Randers Fodbold Club,Aarhus Gymnastik Forening,02:01:00,domestic_league,,,,Charlie Davies,2013,5724,charlie-davies,United States,1986-06-25 00:00:00,Centre-Forward,right,178,,2200000,,
2224574_39897,2224574,39897,1,0,0,1,78,6d6e1eb0eef299fa3d4106ab472ab7fe,75,"1. Yellow card  , Foul",,,2012,3. Matchday,2012-07-29 00:00:00,1,1,4,6,Kasper Hjulmand,Troels Bech,Right to Dream Park,5736,Michael Johansen,,,Football Club Nords,Odense Boldklub,01:01:00,domestic_league,,,,Michael Parkhurst,2013,167,michael-parkhurst,United States,1984-01-24 00:00:00,Centre-Back,,,,1000000,,
2224574_39897,2224574,39897,1,0,0,1,78,930c3a66715bc3968a5f7587bfef88b5,78,", Tactical",89205,,2012,3. Matchday,2012-07-29 00:00:00,1,1,4,6,Kasper Hjulmand,Troels Bech,Right to Dream Park,5736,Michael Johansen,,,Football Club Nords,Odense Boldklub,01:01:00,domestic_league,,,,Michael Parkhurst,2013,167,michael-parkhurst,United States,1984-01-24 00:00:00,Centre-Back,,,,1000000,,
